Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
SH3L3,Q91VW3,6.98028899548449,,,,,,,,,0.8438734035036812,,,,
RL34,Q9D1R9,7.71617045426901,,,,,,,,,0.8874018128716383,,,,
GDIR1,Q99PT1,9.6311287925671,,,,,,,,,0.9836771905153945,,,,
RS28,P62858,7.43358575841059,,,,,,,,,0.871198356080535,,,,
PDIA1,P09103,12.2253883039638,,,,,,,,,1.0872626621179973,,,,
RL5,P47962,6.27778148978502,,,,,,,,,0.797806195175407,,,,
H2B2B,Q64525,,,,,,,,,,,,,,
K1C18,P05784,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HMGB1,P63158,5.49060844836606,,,,,,,,,0.7396204739812405,,,,
TKT,P40142,10.2864967265869,,,,,,,,,1.0122674922198578,,,,
MOES,P26041,3.8906579616655,,,,,,,,,0.5900230524715413,,,,
PTBP1,P17225,2.90296322487761,,,,,,,,,0.46284153416653845,,,,
IF4A1,P60843,13.1735822298775,,,,,,,,,1.1197038866646434,,,,
RL11,Q9CXW4,6.73045475958732,,,,,,,,,0.8280444093810266,,,,
PRDX6,O08709,6.01618639541731,,,,,,,,,0.7793212832430205,,,,
GRP75,P38647,6.64402888654213,,,,,,,,,0.8224315119850427,,,,
PSD11,Q8BG32,1.73714882042639,,,,,,,,,0.2398370257708812,,,,
RL23,P62830,7.03655664328426,,,,,,,,,0.8473601880259729,,,,
RL8,P62918,7.0279383851989,,,,,,,,,0.8468279453267548,,,,
HINT1,P70349,9.63493299646333,,,,,,,,,0.9838486988184126,,,,
GSTO1,O09131,0.450439748641049,,,,,,,,,-0.346363292548836,,,,
FLNA,Q8BTM8,3.10114758524162,,,,,,,,,0.4915224350315391,,,,
RS7,P62082,6.07069505365506,,,,,,,,,0.7832384177121618,,,,
PSME3,P61290,2.40527848265318,,,,,,,,,0.3811653661476493,,,,
GLU2B,O08795,1.78558228398138,,,,,,,,,0.2517798683376278,,,,
ATOX1,O08997,10.2140737492875,,,,,,,,,1.0091989892932607,,,,
FERM2,Q8CIB5,,,,,,,,,,,,,,
RL38,Q9JJI8,8.58128681486033,,,,,,,,,0.9335524177658439,,,,
RL30,P62889,7.45450841082113,,,,,,,,,0.8724190090892063,,,,
ANXA6,P14824,0.702454690955819,,,,,,,,,-0.15338168295663743,,,,
CALX,P35564,5.10846476608687,,,,,,,,,0.708290402327619,,,,
IPYR,Q9D819,2.57800597781891,,,,,,,,,0.41128392005026104,,,,
WDR1,O88342,8.09801555211601,,,,,,,,,0.9083786064891591,,,,
MDHM,P08249,14.9419969286186,,,,,,,,,1.1744086428023333,,,,
NTF2,P61971,2.10442752865896,,,,,,,,,0.32313397430098306,,,,
PSA7,Q9Z2U0,5.76189379093796,,,,,,,,,0.7605652486624278,,,,
RL35,Q6ZWV7,5.57099033328662,,,,,,,,,0.7459324048776943,,,,
PP14B,Q62084,1.63511690100179,,,,,,,,,0.21354880754377153,,,,
IMDH2,P24547,2.78214654747482,,,,,,,,,0.44438000239341147,,,,
SAHH3,Q68FL4,35.2317054106275,,,,,,,,,1.5469336659600903,,,,
C1TC,Q922D8,1.19815751274527,,,,,,,,,0.07851391523144956,,,,
TFR1,Q62351,4.24241846966963,,,,,,,,,0.627613504846444,,,,
PNPH,P23492,1.4045073248157,,,,,,,,,0.14752400848508307,,,,
SPIT2,Q9WU03,,,,,,,,,,,,,,
PUR6,Q9DCL9,3.486992339303,,,,,,,,,0.542450993260092,,,,
CAP1,P40124,16.7369878509787,,,,,,,,,1.2236773008850759,,,,
GDIB,Q61598,4.60396579568215,,,,,,,,,0.6631320884586925,,,,
TCPH,P80313,3.70033062294807,,,,,,,,,0.5682405298256425,,,,
PCBP1,P60335,4.26683509484877,,,,,,,,,0.6301058585187596,,,,
ARPC4,P59999,9.06338084146566,,,,,,,,,0.9572902293443701,,,,
TCPG,P80318,4.84151843615288,,,,,,,,,0.6849815899544806,,,,
TCPE,P80316,3.27578089198162,,,,,,,,,0.5153148452905599,,,,
PTMA,P26350,13.1773350270864,,4.74925951480298,,17.813140164073765,,,0.0479570592439682,,1.1198275877953974,,-1.3191474559583924,,
RANG,P34022,7.21283075776591,,,,,,,,,0.8581057420014235,,,,
RL3,P27659,5.70486518509129,,,,,,,,,0.7562453858159806,,,,
PUR9,Q9CWJ9,2.16417797344795,,,,,,,,,0.3352929725658405,,,,
ATPB,P56480,9.76306752074495,,,,,,,,,0.9895862928740027,,,,
ROA3,Q8BG05,6.6053204614314,,,,,,,,,0.8198938925417937,,,,
PSME1,P97371,3.37974586470243,,,,,,,,,0.5288840453348056,,,,
TCPA,P11983,9.26996466150649,,,,,,,,,0.9670780785520501,,,,
TPM3,P21107,3.03303371326337,,,,,,,,,0.4818772376772561,,,,
PA2G4,P50580,6.34160771046161,,,,,,,,,0.802199373223834,,,,
TPD54,Q9CYZ2,1.59159213481995,,,,,,,,,0.2018317843241026,,,,
RLA0,P14869,4.72434677827049,,,,,,,,,0.6743417683576163,,,,
PHB1,P67778,4.69504603497252,,,,,,,,,0.6716398548846697,,,,
CLH1,Q68FD5,4.08852636616783,,,,,,,,,0.6115668027838016,,,,
FETUA,P29699,,,,,,,,,,,,,,
RL31,P62900,5.82866813457559,,,,,,,,,0.7655693287067243,,,,
SMD2,P62317,2.73588790866611,,,,,,,,,0.43709830004917327,,,,
NP1L1,P28656,2.42985769779183,,,,,,,,,0.38558084031707984,,,,
TALDO,Q93092,4.38326818561902,,,,,,,,,0.641798043314534,,,,
RS14,P62264,6.04307439085259,,,,,,,,,0.7812579404900465,,,,
B2MG,P01887,0.861589548581318,,,,,,,,,-0.06469957784028772,,,,
CAPG,P24452,10.087404209782,,,,,,,,,1.0037794236795077,,,,
SERC,Q99K85,7.17040999864382,,,,,,,,,0.8555439890091989,,,,
KTHY,P97930,0.200139864934206,,,,,,,,,-0.6986663976377898,,,,
AATM,P05202,6.52995598183296,,,,,,,,,0.8149102537235453,,,,
PSA1,Q9R1P4,4.87084027462872,,,,,,,,,0.6876038883513398,,,,
CATD,P18242,4.8627721543925,,,,,,,,,0.6868839211395877,,,,
ACTN1,Q7TPR4,0.44299585525667,,,,,,,,,-0.3536003370897472,,,,
