gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
PRS6B,P54775,1.57202354634002,,,
F10A1,Q99L47,3.14391693976034,,,
,,,,,
RPN2,Q9DBG6,2.76784162710147,,,
PIN1,Q9QUR7,0.909075480619016,,,
VASP,P70460,1.89337655418925,4.6581283755118,21.972102912208136,0.004218166869103257
HNRPF,Q9Z2X1,2.09961593939167,,,
SGT1,Q9CX34,0.547971235719852,,,
DDB1,Q3U1J4,1.73334879992375,,,
HM13,Q9D8V0,0.580924973266239,,,
IPO5,Q8BKC5,0.977701920289192,,,
SPSY,P97355,0.607418269712297,,,
OST48,O54734,2.79946149926887,,,
MIC19,Q9CRB9,0.622133970258849,,,
PFD6,Q03958,1.53279155441293,,,
ECHM,Q8BH95,0.210531293644202,,,
BAP31,Q61335,0.19906328763185,,,
UAP1,Q91YN5,0.015678793455996,,,
,,,,,
HSBP1,Q9CQZ1,0.697557465406437,,,
GLOD4,Q9CPV4,0.992177940789225,,,
